zip_code,studio,1BR,2BR,3BR,4BR,studio_monthly_income_rq,1BR_monthly_income_rq,2BR_monthly_income_rq,3BR_monthly_income_rq,4BR_monthly_income_rq,studio_yrly_income_rq,1BR_yrly_income_rq,2BR_yrly_income_rq,3BR_yrly_income_rq,4BR_yrly_income_rq,studio_hourly_wage_rq_one_brdwnr,1BR_hourly_wage_rq_one_brdwnr,2BR_hourly_wage_rq_one_brdwnr,3BR_hourly_wage_rq_one_brdwnr,4BR_hourly_wage_rq_one_brdwnr,studio_hourly_wage_rq_two_brdwnrs,1BR_hourly_wage_rq_two_brdwnrs,2BR_hourly_wage_rq_two_brdwnrs,3BR_hourly_wage_rq_two_brdwnrs,4BR_hourly_wage_rq_two_brdwnrs
33135,1170,1330,1650,2170,2570,3900,4433,5500,7233,8566,46800,53200,66000,86800,102800,22,25,31,41,49,11,12,15,20,24
33136,1050,1200,1510,2000,2370,3500,4000,5033,6666,7900,42000,48000,60400,80000,94800,20,23,29,38,45,10,11,14,19,22
33137,1760,1990,2480,3260,3870,5866,6633,8266,10866,12900,70400,79600,99200,130400,154800,33,38,47,62,74,16,19,23,31,37
33138,1080,1220,1520,2000,2370,3600,4066,5066,6666,7900,43200,48800,60800,80000,94800,20,23,29,38,45,10,11,14,19,22
33139,2040,2310,2880,3790,4490,6800,7700,9600,12633,14966,81600,92400,115200,151600,179600,39,44,55,72,86,19,22,27,36,43
33140,1750,1990,2470,3250,3850,5833,6633,8233,10833,12833,70000,79600,98800,130000,154000,33,38,47,62,74,16,19,23,31,37
33141,1570,1780,2220,2920,3460,5233,5933,7400,9733,11533,62800,71200,88800,116800,138400,30,34,42,56,66,15,17,21,28,33
33142,1070,1210,1510,2000,2370,3566,4033,5033,6666,7900,42800,48400,60400,80000,94800,20,23,29,38,45,10,11,14,19,22
33143,1520,1720,2140,2820,3340,5066,5733,7133,9400,11133,60800,68800,85600,112800,133600,29,33,41,54,64,14,16,20,27,32
33144,1380,1570,1950,2570,3040,4600,5233,6500,8566,10133,55200,62800,78000,102800,121600,26,30,37,49,58,13,15,18,24,29
33145,1500,1700,2120,2790,3300,5000,5666,7066,9300,11000,60000,68000,84800,111600,132000,28,32,40,53,63,14,16,20,26,31
33146,2040,2310,2880,3790,4490,6800,7700,9600,12633,14966,81600,92400,115200,151600,179600,39,44,55,72,86,19,22,27,36,43
33147,1110,1250,1560,2050,2430,3700,4166,5200,6833,8100,44400,50000,62400,82000,97200,21,24,30,39,46,10,12,15,19,23
33149,2040,2310,2880,3790,4490,6800,7700,9600,12633,14966,81600,92400,115200,151600,179600,39,44,55,72,86,19,22,27,36,43
33150,1050,1200,1510,2000,2370,3500,4000,5033,6666,7900,42000,48000,60400,80000,94800,20,23,29,38,45,10,11,14,19,22
33152,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33153,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33154,1810,2050,2550,3350,3970,6033,6833,8500,11166,13233,72400,82000,102000,134000,158800,34,39,49,64,76,17,19,24,32,38
33155,1610,1820,2270,2990,3540,5366,6066,7566,9966,11800,64400,72800,90800,119600,141600,30,35,43,57,68,15,17,21,28,34
33156,1730,1960,2440,3210,3800,5766,6533,8133,10700,12666,69200,78400,97600,128400,152000,33,37,46,61,73,16,18,23,30,36
